[2026-05-09 19:37:56] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:38:22] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:38:49] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:39:14] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:39:41] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:40:22] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:40:47] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:41:15] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:41:41] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:42:03] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:42:39] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:43:06] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:43:32] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:43:56] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:44:23] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:44:47] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:45:12] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:45:44] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:46:08] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:46:37] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:47:03] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:47:25] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:47:50] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:48:18] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:48:47] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:49:14] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:49:45] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:50:15] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:50:47] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:51:17] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:51:40] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:52:10] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:52:34] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:53:04] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:53:34] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:54:06] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:54:39] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:55:05] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:55:35] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:56:04] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:56:30] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:56:57] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:57:25] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:57:49] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:58:17] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:58:45] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:59:13] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 19:59:38] UTC:10 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:조건_미충족
[2026-05-09 20:00:08] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:00:38] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:01:02] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:01:32] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:01:55] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:02:28] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:02:51] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:03:15] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:03:37] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:04:06] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
[2026-05-09 20:04:45] UTC:11 | Ticker:SSO | 현재가:$66.22 | 20dσ:1.925% | Status:스케줄_외
